"acao"
"PETR4"
"VALE3"
"ITUB4"
"BBDC4"
"BBAS3"
"SUZB3"
"PETR3"
"ABEV3"
"RAIL3"
"GGBR4"
"BRKM5"
"ENBR3"
"MGLU3"
"B3SA3"
"JBSS3"
"CIEL3"
"ITSA4"
"BTOW3"
"USIM5"
"ESTC3"
"MRVE3"
"BRFS3"
"PCAR4"
"CMIG4"
"BRML3"
"HAPV3"
"VIVT4"
"FIBR3"
"LREN3"
"CYRE3"
"LAME4"
"UGPA3"
"AZUL4"
"RENT3"
"GOLL4"
"GOAU4"
"ELET3"
"HGTX3"
"TIMP3"
"BRAP4"
"KROT3"
"CSNA3"
"BBDC3"
"ODPV3"
"BBSE3"
"BRDT3"
"EMBR3"
"NATU3"
"ELET6"
"MULT3"
"BRSR6"
"EQTL3"
"OIBR3"
"CCRO3"
"IRBR3"
"CSAN3"
"GNDI3"
"TAEE11"
"WEGE3"
"LIGT3"
"PSSA3"
"TRPL4"
"VVAR11"
"SLCE3"
"RADL3"
"CVCB3"
"SANB11"
"SAPR11"
"LINX3"
"MYPK3"
"EGIE3"
"BIDI4"
"ENGI11"
"SBSP3"
"IGTA3"
"QUAL3"
"PARD3"
"BKBR3"
"SULA11"
"CRFB3"
"ECOR3"
"HYPE3"
"GUAR3"
"CPLE6"
"TOTS3"
"GFSA3"
"TEND3"
"CSMG3"
"RAPT4"
"QGEP3"
"CMIG3"
"FLRY3"
"LEVE3"
"TUPY3"
"MRFG3"
"SMLS3"
"OIBR4"
"BEEF3"
"VIVR3"
"TRIS3"
"ENEV3"
"MOVI3"
"SEER3"
"LAME3"
"CESP6"
"EZTC3"
"ARZZ3"
"STBP3"
"UNIP6"
"SMTO3"
"TGMA3"
"MEAL3"
"DTEX3"
"AMAR3"
"EVEN3"
"GRND3"
"MDIA3"
"MPLU3"
"GUAR4"
"PRIO3"
"VLID3"
"CPFE3"
"ALUP11"
"TIET11"
"AALR3"
"CGAS5"
"MAGG3"
"CLSC3"
"DIRR3"
"ALSC3"
"IVVB11"
"PDGR3"
"BPAC11"
"KNRI11"
"ANIM3"
"KNIP11"
"FESA4"
"RLOG3"
"HBOR3"
"ABCB4"
"LCAM3"
"ITUB3"
"ALPA4"
"PIBB11"
"FJTA4"
"PTBL3"
"WIZS3"
"CPLE3"
"LOGN3"
"BRPR3"
"DMMO3"
"GGBR3"
"MILS3"
"VISC11"
"SAPR4"
"FHER3"
"OMGE3"
"CAML3"
"AMZO34"
"GGRC11"
"AIGB34"
"KNCR11"
"FBOK34"
"BRCR11"
"BBPO11"
"DHER34"
"TCSA3"
"BBRK3"
"LPSB3"
"SAAG11"
"VULC3"
"GOAU3"
"GOGL35"
"CATP34"
"ELPL3"
"PFRM3"
"DISB34"
"QCOM34"
"XPML11"
"GEOO34"
"CMCS34"
"SMAL11"
"SPXI11"
"UNIP3"
"JSLG3"
"ROMI3"
"SHOW3"
"XRXB34"
"ITSA3"
"SHUL4"
"LIQO3"
"FJTA3"
"RSID3"
"FVBI11"
"CARD3"
"CESP3"
"GBIO33"
"AAPL34"
"OFSA3"
"TPIS3"
"DEAI34"
"SGPS3"
"JHSF3"
"GMCO34"
"PMAM3"
"BCFF11"
"UBSR11"
"KEPL3"
"VRTA11"
"TRPL3"
"VIVT3"
"XPLG11"
"JSRE11"
"MXRF11"
"KLBN4"
"FJTA12"
"CRPG5"
"CGRA4"
"ARMT34"
"FIGS11"
"KNHY11"
"VVAR3"
"AGRO3"
"BBRC11"
"HGBS11"
"UCAS3"
"NFLX34"
"BPAN4"
"FSLR34"
"SCHW34"
"COCA34"
"ABCP11"
"UPSS34"
"CCPR3"
"ETER3"
"CALI4"
"SBUB34"
"POSI3"
"HFOF11"
"CALI3"
"RIGG34"
"WSON33"
"SPTW11"
"JPMC34"
"MALL11"
"VTLT11"
"MFII11"
"MGFF11"
"OUJP11"
"TGTB34"
"CRPG6"
"RNGO11"
"MSCD34"
"FIIB11"
"RBRR11"
"LUPA3"
"HGCR11"
"OUCY11"
"CHVX34"
"XPCM11"
"IRDM11"
"BCRI11"
"HONB34"
"BBSD11"
"VVAR4"
"BRIN3"
"PEPB34"
"SLED4"
"HTMX11"
"TIET4"
"BBFI11B"
"TELB4"
"BPFF11"
